toxin,matrix,k,egger_intercept,egger_se,egger_z,egger_p
DA,Bile,1,,,,
DA,Feces,12,,,1.937105868399179,0.0527324034294792
DA,Fetal fluids,3,,,1.4122212963824037,0.15788481176846442
DA,GI contents,13,,,0.06100955552745213,0.9513515990231877
DA,Milk,1,,,,
DA,Serum/Plasma,3,,,0.6768910828388699,0.49847506223654786
DA,Urine,11,,,1.1248805251284841,0.2606396655461387
STX,Feces,4,,,2.6368699136551825,0.008367491308119417
STX,GI contents,9,,,-1.6454787475059196,0.09987112186066266
STX,Kidney,2,,,,
STX,Liver,5,,,-3.276413953490554,0.0010513434298162268
STX,Other,2,,,,
